2019-05-27 10:39:14.976,2019-05-27 09:51:18.451
2019-05-27 10:39:18.023,2019-05-27 09:52:16.182
2019-05-27 10:39:21.053,2019-05-27 09:52:16.189
2019-05-27 10:39:24.105,2019-05-27 09:52:51.983
2019-05-27 10:39:27.180,2019-05-27 09:52:51.985
2019-05-27 10:39:30.244,2019-05-27 09:52:51.990
2019-05-27 10:39:33.378,2019-05-27 09:53:01.426
2019-05-27 10:39:36.438,2019-05-27 09:57:40.513
2019-05-27 10:39:39.485,2019-05-27 09:57:40.527
2019-05-27 10:39:42.525,2019-05-27 09:57:46.127
2019-05-27 10:39:45.537,2019-05-27 09:59:45.233
2019-05-27 10:39:48.602,2019-05-27 09:59:45.242
2019-05-27 10:39:51.632,2019-05-27 10:00:22.380
2019-05-27 10:39:54.658,2019-05-27 10:00:27.683
2019-05-27 10:39:57.701,2019-05-27 10:00:27.684
2019-05-27 10:40:00.741,2019-05-27 10:01:44.587
2019-05-27 10:40:03.785,2019-05-27 10:01:44.623
2019-05-27 10:40:06.823,2019-05-27 10:01:44.645
2019-05-27 10:40:09.861,2019-05-27 10:01:44.659
2019-05-27 10:40:12.899,2019-05-27 10:01:47.675
2019-05-27 10:40:15.900,2019-05-27 10:02:21.350
2019-05-27 10:40:18.940,2019-05-27 10:03:54.004
2019-05-27 10:40:21.978,2019-05-27 10:04:10.010
2019-05-27 10:40:25.018,2019-05-27 10:04:18.405
2019-05-27 10:40:31.090,2019-05-27 10:04:18.420
2019-05-27 10:40:34.132,2019-05-27 10:07:05.819
2019-05-27 10:40:37.171,2019-05-27 10:11:36.538
2019-05-27 10:40:40.215,2019-05-27 10:11:44.505
2019-05-27 10:40:43.242,2019-05-27 10:12:36.933
2019-05-27 10:40:46.253,2019-05-27 10:12:57.396
2019-05-27 10:40:49.303,2019-05-27 10:12:57.408
2019-05-27 10:40:52.337,2019-05-27 10:15:02.464
2019-05-27 10:40:55.376,2019-05-27 10:15:16.619
2019-05-27 10:40:58.414,2019-05-27 10:17:11.365
2019-05-27 10:41:01.468,2019-05-27 10:17:19.228
2019-05-27 10:41:04.506,2019-05-27 10:17:19.239
2019-05-27 10:41:07.537,2019-05-27 10:18:13.570
2019-05-27 10:41:10.595,2019-05-27 10:18:17.712
2019-05-27 10:41:13.637,2019-05-27 10:18:17.719
2019-05-27 10:41:16.683,2019-05-27 10:19:35.144
2019-05-27 10:41:19.769,2019-05-27 10:19:43.916
2019-05-27 10:41:22.813,2019-05-27 10:21:50.051
2019-05-27 10:41:25.871,2019-05-27 10:21:55.702
2019-05-27 10:41:28.945,2019-05-27 10:22:08.387
2019-05-27 10:41:35.050,2019-05-27 10:24:13.302
2019-05-27 10:41:38.113,2019-05-27 10:25:32.266
2019-05-27 10:41:41.165,2019-05-27 10:25:32.274
2019-05-27 10:41:44.166,2019-05-27 10:25:59.342
2019-05-27 10:41:47.243,2019-05-27 10:26:12.017
2019-05-27 10:41:50.284,2019-05-27 10:26:29.835
2019-05-27 10:41:53.317,2019-05-27 10:27:40.995
2019-05-27 10:41:56.375,2019-05-27 10:27:57.792
2019-05-27 10:41:59.414,2019-05-27 10:27:57.797
2019-05-27 10:42:02.458,2019-05-27 10:29:20.307
2019-05-27 10:42:05.497,2019-05-27 10:31:18.970
2019-05-27 10:42:08.542,2019-05-27 10:31:18.981
2019-05-27 10:42:11.579,2019-05-27 10:31:42.074
2019-05-27 10:42:14.590,2019-05-27 10:32:21.566
2019-05-27 10:42:17.638,2019-05-27 10:32:28.584
2019-05-27 10:42:20.712,2019-05-27 10:33:13.165
